conditions	conditions-href	title	other_names	test	meds	symptom	percent	attr	freq
Nose disorder	http://www.symcat.com/conditions/nose-disorder	Nose disorder	"Also known as Disease Of The Nose, Nose Disease, and Nasal Disorder"					1-4 years	1.9x
Ganglion cyst	http://www.symcat.com/conditions/ganglion-cyst	Ganglion cyst	Also known as Synovial Cyst and Myxoid Cyst		Ceftizoxime				
Congenital heart defect	http://www.symcat.com/conditions/congenital-heart-defect	Congenital heart defect	"Also known as Cardiac Anomaly, Heart Anomaly, and Heart Malformation"		Brompheniramine (E.N.T.)				
Conductive hearing loss	http://www.symcat.com/conditions/conductive-hearing-loss	Conductive hearing loss	Also known as Conductive Deafness			Swollen or red tonsils	5		
Human immunodeficiency virus infection (HIV)	http://www.symcat.com/conditions/human-immunodeficiency-virus-infection-hiv	Human immunodeficiency virus infection (HIV)	Also known as HIV Infection	Hematologic tests (Blood test)					
Vaginal yeast infection	http://www.symcat.com/conditions/vaginal-yeast-infection	Vaginal yeast infection	"Also known as Vaginal Candidiasis, Vaginal Thrush, Candida Vaginitis, Yeast Vaginitis, Monilial Vaginitis, and Vaginal Moniliasis"					30-44 years	1.5x
Decubitus ulcer	http://www.symcat.com/conditions/decubitus-ulcer	Decubitus ulcer	"Also known as Pressure Ulcer, Pressure Sores, Bed Sore, and Contact Ulcers"					5-14 years	0.1x
Flu	http://www.symcat.com/conditions/flu	Flu	Also known as Influenza and Grippe		Robitussin Ac				
Panic disorder	http://www.symcat.com/conditions/panic-disorder	Panic disorder	null					15-29 years	1.4x
Stye	http://www.symcat.com/conditions/stye	Stye	Also known as Hordeolum and Hordeolum Externum	Nonoperative removal of foreign body					
Vaginitis	http://www.symcat.com/conditions/vaginitis	Vaginitis	Also known as Vagina Inflammation		Metronidazole Topical Product				
Injury to the finger	http://www.symcat.com/conditions/injury-to-the-finger	Injury to the finger	Also known as Finger Injury		Hydrogen Peroxide Topical				
Cerebral palsy	http://www.symcat.com/conditions/cerebral-palsy	Cerebral palsy	null			Leg cramps or spasms	4		
Pelvic organ prolapse	http://www.symcat.com/conditions/pelvic-organ-prolapse	Pelvic organ prolapse	null					5-14 years	0.0x
Croup	http://www.symcat.com/conditions/croup	Croup	Also known as Acute Laryngotracheobronchitis					75+ years	0.0x
Varicose veins	http://www.symcat.com/conditions/varicose-veins	Varicose veins	"Also known as Varicose Vein, Varices, Varix, Phlebectasia, Venous Ectasia, and Enlarged Tortuous Blood Vessel"	Complete physical skin exam performed (ML)					
Noninfectious gastroenteritis	http://www.symcat.com/conditions/noninfectious-gastroenteritis	Noninfectious gastroenteritis	null			Burning abdominal pain	40		
Skin polyp	http://www.symcat.com/conditions/skin-polyp	Skin polyp	Also known as Benign Skin Tumor		Tazarotene Topical				
Heart attack	http://www.symcat.com/conditions/heart-attack	Heart attack	"Also known as MI, Myocardial Infarction, Coronary Attack, and Cardiac Infarction"					Other	0.9x
Inguinal hernia	http://www.symcat.com/conditions/inguinal-hernia	Inguinal hernia	null		Nitrofurazone Topical				
Open wound of the finger	http://www.symcat.com/conditions/open-wound-of-the-finger	Open wound of the finger	null			Hand or finger stiffness or tightness	2		
Vitamin B12 deficiency	http://www.symcat.com/conditions/vitamin-b12-deficiency	Vitamin B12 deficiency	Also known as Cobalamin Deficiency and Cyanocobalamin Deficiency					White	1.3x
Gastritis	http://www.symcat.com/conditions/gastritis	Gastritis	Also known as Stomach Inflammation and Gastric Inflammation					60-74 years	0.8x
Female infertility of unknown cause	http://www.symcat.com/conditions/female-infertility-of-unknown-cause	Female infertility of unknown cause	null			Unwanted hair	2		
Injury to the leg	http://www.symcat.com/conditions/injury-to-the-leg	Injury to the leg	Also known as Leg Injury and Lower Limb Injury	Magnetic resonance imaging (Mri)					
Fracture of the finger	http://www.symcat.com/conditions/fracture-of-the-finger	Fracture of the finger	Also known as Finger Fracture		Nitrous Oxide				
Vasculitis	http://www.symcat.com/conditions/vasculitis	Vasculitis	Also known as Angiitis			Dizziness	25		
Thrombocytopenia	http://www.symcat.com/conditions/thrombocytopenia	Thrombocytopenia	Also known as Reduced Platelet Count			Tongue lesions	2		
Fibromyalgia	http://www.symcat.com/conditions/fibromyalgia	Fibromyalgia	"Also known as Fibromyalgia Syndrome, Fibromyositis, and Muscular Rheumatism"					Hispanic	0.8x
Personality disorder	http://www.symcat.com/conditions/personality-disorder	Personality disorder	null		Lithium (Li)				
Idiopathic irregular menstrual cycle	http://www.symcat.com/conditions/idiopathic-irregular-menstrual-cycle	Idiopathic irregular menstrual cycle	null	Urinalysis					
Insect bite	http://www.symcat.com/conditions/insect-bite	Insect bite	null	Incision and drainage (I d)					
Onychomycosis	http://www.symcat.com/conditions/onychomycosis	Onychomycosis	"Also known as Fungal Nail Infection, Tinea Unguium, Dermatophytosis Of Nail, Nail Tinea, and Dermatophytic Onychia"					Black	1.0x
Kidney disease due to longstanding hypertension	http://www.symcat.com/conditions/kidney-disease-due-to-longstanding-hypertension	Kidney disease due to longstanding hypertension	Also known as Hypertensive Renal Disease and Hypertensive Nephropathy					15-29 years	0.1x
Liver disease	http://www.symcat.com/conditions/liver-disease	Liver disease	"Also known as Liver Disease, Disease Of Liver, Hepatic Disease, Hepatic Disorder, Hepatocellular Disease, and Hepatopathy"			Upper abdominal pain	30		
Pneumonia	http://www.symcat.com/conditions/pneumonia	Pneumonia	null					30-44 years	0.6x
Pelvic organ prolapse	http://www.symcat.com/conditions/pelvic-organ-prolapse	Pelvic organ prolapse	null			Involuntary urination	62		
Breast cancer	http://www.symcat.com/conditions/breast-cancer	Breast cancer	Also known as Cancer Of Breast and Malignant Neoplasm Of Breast		Tamoxifen				
Fungal infection of the skin	http://www.symcat.com/conditions/fungal-infection-of-the-skin	Fungal infection of the skin	"Also known as Dermatomycosis, Fungal Skin Disease, Cutaneous Mycosis, and Epidermomycosis"	Other diagnostic procedures on skin and subcutaneous tissue					
Otitis externa (swimmer's ear)	http://www.symcat.com/conditions/otitis-externa-swimmer-s-ear	Otitis externa (swimmer's ear)	Also known as Swimmer's ear					Male	1.1x
Social phobia	http://www.symcat.com/conditions/social-phobia	Social phobia	Also known as Social Anxiety Disorder		Citalopram (Celexa)				
Knee ligament or meniscus tear	http://www.symcat.com/conditions/knee-ligament-or-meniscus-tear	Knee ligament or meniscus tear	Also known as Knee Derangement		Nitrous Oxide				
Sickle cell anemia	http://www.symcat.com/conditions/sickle-cell-anemia	Sickle cell anemia	Also known as Sickle Cell Disorder		Deferasirox (Exjade)				
Cardiomyopathy	http://www.symcat.com/conditions/cardiomyopathy	Cardiomyopathy	Also known as Heart Muscle Disease and Myocardial Disease	Electrocardiogram					
Fracture of the leg	http://www.symcat.com/conditions/fracture-of-the-leg	Fracture of the leg	"Also known as Broken Leg, Leg Fracture, Lower Extremity Fracture, and Lower Limb Fractures"			Leg swelling	11		
Gallstone	http://www.symcat.com/conditions/gallstone	Gallstone	"Also known as Cholelithiasis, Gallstone Disease, and Calculus Of Gallbladder"		Deferasirox (Exjade)				
Melanoma	http://www.symcat.com/conditions/melanoma	Melanoma	"Also known as Malignant Melanoma, Cutaneous Melanoma, Melanocarcinoma, Melanosarcoma, and Nevocarcinoma"			Itchy eyelid	2		
Fibrocystic breast disease	http://www.symcat.com/conditions/fibrocystic-breast-disease	Fibrocystic breast disease	"Also known as Fibrocystic Disease Of Breast, Cystic Breast Disease, Diffuse Cystic Mastopathy, Breast Dysplasia, Mammary Dysplasia, and Fibrocystic Mastopathy"	Pelvis exam					
Developmental disability	http://www.symcat.com/conditions/developmental-disability	Developmental disability	Also known as Child Development Disorder	Magnetic resonance imaging (Mri)					
Gestational diabetes	http://www.symcat.com/conditions/gestational-diabetes	Gestational diabetes	"Also known as GDM, Gestational Diabetes Mellitus, and Pregnancy Induced Diabetes"					60-74 years	0.0x
Temporary or benign blood in urine	http://www.symcat.com/conditions/temporary-or-benign-blood-in-urine	Temporary or benign blood in urine	Also known as Benign Hematuria and Essential Hematuria			Blood in urine	89		
Scoliosis	http://www.symcat.com/conditions/scoliosis	Scoliosis	null					Female	1.2x
Problem during pregnancy	http://www.symcat.com/conditions/problem-during-pregnancy	Problem during pregnancy	Also known as Pregnancy Problem					15-29 years	4.0x
Skin pigmentation disorder	http://www.symcat.com/conditions/skin-pigmentation-disorder	Skin pigmentation disorder	null		Benzoyl Peroxide Topical				
Viral hepatitis	http://www.symcat.com/conditions/viral-hepatitis	Viral hepatitis	null			Melena	3		
Sebaceous cyst	http://www.symcat.com/conditions/sebaceous-cyst	Sebaceous cyst	"Also known as Wen, Epidermoid Cyst, Epithelial Cyst, and Keratin Cyst"		Hexachlorophene Topical				
Alzheimer disease	http://www.symcat.com/conditions/alzheimer-disease	Alzheimer disease	null					Black	0.5x
Gastrointestinal hemorrhage	http://www.symcat.com/conditions/gastrointestinal-hemorrhage	Gastrointestinal hemorrhage	"Also known as GI Bleeding, Gi Bleed, Gastrointestinal Bleeding, Gastrointestinal Bleed, and GI Hemorrhage"		Dexmedetomidine (Precedex)				
Bursitis	http://www.symcat.com/conditions/bursitis	Bursitis	Also known as Inflammation Of Bursa	Magnetic resonance imaging (Mri)					
Osteoarthritis	http://www.symcat.com/conditions/osteoarthritis	Osteoarthritis	"Also known as Degenerative Joint Disease, Degenerative Arthritis, Osteoarthrosis, Degenerative Arthropathy, and Hypertrophic Arthritis"		Celecoxib (Celebrex)				
Fibromyalgia	http://www.symcat.com/conditions/fibromyalgia	Fibromyalgia	"Also known as Fibromyalgia Syndrome, Fibromyositis, and Muscular Rheumatism"	Mammography (Mammogram)					
Subconjunctival hemorrhage	http://www.symcat.com/conditions/subconjunctival-hemorrhage	Subconjunctival hemorrhage	null					5-14 years	2.0x
Tension headache	http://www.symcat.com/conditions/tension-headache	Tension headache	Also known as Stress Headache and Tension Type Headache			Bleeding from ear	2		
Cervical cancer	http://www.symcat.com/conditions/cervical-cancer	Cervical cancer	Also known as Carcinoma Of Cervix			Pelvic pain	13		
Seasonal allergies (hay fever)	http://www.symcat.com/conditions/seasonal-allergies-hay-fever	Seasonal allergies (hay fever)	"Also known as Hay Fever, Seasonal Allergic Rhinitis, and Pollenosis"					< 1 years	0.3x
Nerve impingement near the shoulder	http://www.symcat.com/conditions/nerve-impingement-near-the-shoulder	Nerve impingement near the shoulder	Also known as Shoulder Impingement Syndrome and Subacromial Impingement					Hispanic	0.7x
Cholecystitis	http://www.symcat.com/conditions/cholecystitis	Cholecystitis	Also known as Gallbladder Inflammation					60-74 years	1.0x
Onychomycosis	http://www.symcat.com/conditions/onychomycosis	Onychomycosis	"Also known as Fungal Nail Infection, Tinea Unguium, Dermatophytosis Of Nail, Nail Tinea, and Dermatophytic Onychia"	Other non-OR therapeutic procedures on skin and breast					
Common cold	http://www.symcat.com/conditions/common-cold	Common cold	"Also known as Head Cold, Acute Rhinitis, and Acute Nasopharyngitis"	Diagnostic procedures on ear					
Chronic glaucoma	http://www.symcat.com/conditions/chronic-glaucoma	Chronic glaucoma	null					White	0.9x
Alzheimer disease	http://www.symcat.com/conditions/alzheimer-disease	Alzheimer disease	null	Magnetic resonance imaging (Mri)					
Iron deficiency anemia	http://www.symcat.com/conditions/iron-deficiency-anemia	Iron deficiency anemia	Also known as Ferropenic Anemia	Glucose measurement (Glucose level)					
Menopause	http://www.symcat.com/conditions/menopause	Menopause	Also known as Change Of Life and Climacteric					5-14 years	0.0x
Coronary atherosclerosis	http://www.symcat.com/conditions/coronary-atherosclerosis	Coronary atherosclerosis	null	Other diagnostic procedures (interview; evaluation; consultation)					
Open wound of the head	http://www.symcat.com/conditions/open-wound-of-the-head	Open wound of the head	null		Hydrogen Peroxide Topical				
Dental caries	http://www.symcat.com/conditions/dental-caries	Dental caries	"Also known as Tooth Decay, Tooth Cavity, Dental Decay, Dental Cavity, and Saprodontia"			Skin swelling	6		
Urinary tract infection	http://www.symcat.com/conditions/urinary-tract-infection	Urinary tract infection	Also known as UTI			Side pain	31		
Impetigo	http://www.symcat.com/conditions/impetigo	Impetigo	null					Hispanic	1.2x
Idiopathic irregular menstrual cycle	http://www.symcat.com/conditions/idiopathic-irregular-menstrual-cycle	Idiopathic irregular menstrual cycle	null					5-14 years	0.4x
Deep vein thrombosis (DVT)	http://www.symcat.com/conditions/deep-vein-thrombosis-dvt	Deep vein thrombosis (DVT)	Also known as DVT and Deep Thrombophlebitis	Prothrombin time assay (Prothrombin time)					
Thyroid disease	http://www.symcat.com/conditions/thyroid-disease	Thyroid disease	Also known as Thyroid Disorder and Thyroid Gland Disorder			Hostile behavior	6		
Gum disease	http://www.symcat.com/conditions/gum-disease	Gum disease	Also known as Periodontal Disease and Parodontosis		Codeine				
Acute kidney injury	http://www.symcat.com/conditions/acute-kidney-injury	Acute kidney injury	"Also known as AKI, ARF, Acute Renal Failure, Acute Kidney Failure, Acute Renal Insufficiency, and Acute Renal Shutdown"			Sharp chest pain	25		
Anemia	http://www.symcat.com/conditions/anemia	Anemia	null	Electrocardiogram					
Chronic glaucoma	http://www.symcat.com/conditions/chronic-glaucoma	Chronic glaucoma	null	Other therapeutic procedures on eyelids; conjunctiva; cornea					
Pain after an operation	http://www.symcat.com/conditions/pain-after-an-operation	Pain after an operation	Also known as Postoperative Pain			Toothache	28		
Complex regional pain syndrome	http://www.symcat.com/conditions/complex-regional-pain-syndrome	Complex regional pain syndrome	null		Lidocaine-Prilocaine Topical				
Lymphoma	http://www.symcat.com/conditions/lymphoma	Lymphoma	Also known as Malignant Lymphoma		Doxorubicin				
Neurosis	http://www.symcat.com/conditions/neurosis	Neurosis	Also known as Neurotic Disorder					30-44 years	1.5x
Infectious gastroenteritis	http://www.symcat.com/conditions/infectious-gastroenteritis	Infectious gastroenteritis	Also known as Stomach Flu and Gastric Flu					30-44 years	0.7x
Acute bronchospasm	http://www.symcat.com/conditions/acute-bronchospasm	Acute bronchospasm	Also known as Bronchial Spasm	Cardiac enzymes measurement (Cardiac enzymes test)					
Lymphoma	http://www.symcat.com/conditions/lymphoma	Lymphoma	Also known as Malignant Lymphoma					5-14 years	0.7x
Coronary atherosclerosis	http://www.symcat.com/conditions/coronary-atherosclerosis	Coronary atherosclerosis	null			Burning chest pain	2		
Bladder cancer	http://www.symcat.com/conditions/bladder-cancer	Bladder cancer	"Also known as Cancer Of Bladder, Urinary Bladder Cancer, Bladder Ca, and Malignant Neoplasm Of Bladder"		Mitomycin				
Inguinal hernia	http://www.symcat.com/conditions/inguinal-hernia	Inguinal hernia	null			Swelling of scrotum	16		
Acute bronchitis	http://www.symcat.com/conditions/acute-bronchitis	Acute bronchitis	null		Ipratropium				
Sebaceous cyst	http://www.symcat.com/conditions/sebaceous-cyst	Sebaceous cyst	"Also known as Wen, Epidermoid Cyst, Epithelial Cyst, and Keratin Cyst"			Skin swelling	43		
Conjunctivitis due to virus	http://www.symcat.com/conditions/conjunctivitis-due-to-virus	Conjunctivitis due to virus	Also known as Viral Conjunctivitis		Olopatadine Ophthalmic				
Joint effusion	http://www.symcat.com/conditions/joint-effusion	Joint effusion	Also known as Hydrarthrosis and Synovial Effusion					15-29 years	0.9x
Open wound of the face	http://www.symcat.com/conditions/open-wound-of-the-face	Open wound of the face	null		Sterile Water				
Rheumatoid arthritis	http://www.symcat.com/conditions/rheumatoid-arthritis	Rheumatoid arthritis	Also known as Atrophic Arthritis and Proliferative Arthritis			Joint swelling	5		
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null					White	0.7x
Acne	http://www.symcat.com/conditions/acne	Acne	null		Clindamycin Topical Product				
Pneumonia	http://www.symcat.com/conditions/pneumonia	Pneumonia	null					Black	0.9x
Envenomation from spider or animal bite	http://www.symcat.com/conditions/envenomation-from-spider-or-animal-bite	Envenomation from spider or animal bite	null		Hydroxyzine				
Chronic ulcer	http://www.symcat.com/conditions/chronic-ulcer	Chronic ulcer	Also known as Chronic Skin Ulcer			Skin lesion	83		
Bruise	http://www.symcat.com/conditions/bruise	Bruise	Also known as Contusion					60-74 years	0.6x
Sprain or strain	http://www.symcat.com/conditions/sprain-or-strain	Sprain or strain	null	Physical therapy exercises (Exercises)					
Chronic constipation	http://www.symcat.com/conditions/chronic-constipation	Chronic constipation	null		Benzylpenicilloyl Polylysine (Pre-Pen)				
Macular degeneration	http://www.symcat.com/conditions/macular-degeneration	Macular degeneration	Also known as Macula Lutea Degeneration		Gatifloxacin (Zymar)				
Eczema	http://www.symcat.com/conditions/eczema	Eczema	Also known as Eczematous Dermatitis			Warts	6		
Tooth disorder	http://www.symcat.com/conditions/tooth-disorder	Tooth disorder	"Also known as Tooth Disease, Dental Disease, and Disease Of Teeth"			Ear pain	31		
Skin disorder	http://www.symcat.com/conditions/skin-disorder	Skin disorder	"Also known as Skin Disease, Dermatosis, Integumentary Disease, Dermatological Disease, and Dermatological Disorders"					Black	0.6x
Fracture of the vertebra	http://www.symcat.com/conditions/fracture-of-the-vertebra	Fracture of the vertebra	Also known as Spine Fracture and Spinal Fracture					White	1.3x
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis		Pepsin A				
Acute pancreatitis	http://www.symcat.com/conditions/acute-pancreatitis	Acute pancreatitis	null			Diarrhea	38		
Sensorineural hearing loss	http://www.symcat.com/conditions/sensorineural-hearing-loss	Sensorineural hearing loss	Also known as Sensory Hearing Loss and Sensorineural Deafness			Diminished hearing	90		
Head injury	http://www.symcat.com/conditions/head-injury	Head injury	"Also known as Head Trauma, Craniocerebral Trauma, and Craniocerebral Injury"	Suturing of wound					
Liver disease	http://www.symcat.com/conditions/liver-disease	Liver disease	"Also known as Liver Disease, Disease Of Liver, Hepatic Disease, Hepatic Disorder, Hepatocellular Disease, and Hepatopathy"					White	1.0x
Lung cancer	http://www.symcat.com/conditions/lung-cancer	Lung cancer	Also known as Carcinoma Of Lung and Pulmonary Carcinoma	Glucose measurement (Glucose level)					
Pelvic inflammatory disease	http://www.symcat.com/conditions/pelvic-inflammatory-disease	Pelvic inflammatory disease	Also known as PID					15-29 years	3.1x
Cerebral palsy	http://www.symcat.com/conditions/cerebral-palsy	Cerebral palsy	null					Female	0.7x
Prostate cancer	http://www.symcat.com/conditions/prostate-cancer	Prostate cancer	Also known as Cancer Of The Prostate and Malignant Neoplasm Of Prostate					< 1 years	0.0x
Fibromyalgia	http://www.symcat.com/conditions/fibromyalgia	Fibromyalgia	"Also known as Fibromyalgia Syndrome, Fibromyositis, and Muscular Rheumatism"					45-59 years	1.7x
Skin pigmentation disorder	http://www.symcat.com/conditions/skin-pigmentation-disorder	Skin pigmentation disorder	null	Wound care management					
Cold sore	http://www.symcat.com/conditions/cold-sore	Cold sore	"Also known as Cold Sores, Fever Blister, Fever Sore, Lip Herpes, and Herpes Labialis"		Emtricitabine-Tenofovir				
Anxiety	http://www.symcat.com/conditions/anxiety	Anxiety	null					Female	1.1x
Skin pigmentation disorder	http://www.symcat.com/conditions/skin-pigmentation-disorder	Skin pigmentation disorder	null					Other	1.6x
Hypoglycemia	http://www.symcat.com/conditions/hypoglycemia	Hypoglycemia	Also known as Low Blood Sugar Level					1-4 years	0.4x
Open wound of the face	http://www.symcat.com/conditions/open-wound-of-the-face	Open wound of the face	null					White	1.0x
Ovarian cyst	http://www.symcat.com/conditions/ovarian-cyst	Ovarian cyst	Also known as Cyst Of Ovary and Ovary Cyst					15-29 years	2.4x
Acute sinusitis	http://www.symcat.com/conditions/acute-sinusitis	Acute sinusitis	null			Painful sinuses	29		
Brachial neuritis	http://www.symcat.com/conditions/brachial-neuritis	Brachial neuritis	"Also known as Parsonage Turner Syndrome, Brachial Plexus Neuritis, Neuralgic Amyotrophy, and Shoulder Girdle Syndrome"			Low back pain	34		
Head and neck cancer	http://www.symcat.com/conditions/head-and-neck-cancer	Head and neck cancer	null		Megestrol (Megace)				
Lung cancer	http://www.symcat.com/conditions/lung-cancer	Lung cancer	Also known as Carcinoma Of Lung and Pulmonary Carcinoma			Decreased appetite	14		
Injury to the leg	http://www.symcat.com/conditions/injury-to-the-leg	Injury to the leg	Also known as Leg Injury and Lower Limb Injury	Examination of foot					
Appendicitis	http://www.symcat.com/conditions/appendicitis	Appendicitis	null					Male	1.3x
Open wound due to trauma	http://www.symcat.com/conditions/open-wound-due-to-trauma	Open wound due to trauma	null					30-44 years	0.9x
Acute stress reaction	http://www.symcat.com/conditions/acute-stress-reaction	Acute stress reaction	null		Naratriptan (Amerge)				
Diabetes	http://www.symcat.com/conditions/diabetes	Diabetes	null	Prostate specific antigen measurement (Prostate specific antigen test)					
Schizophrenia	http://www.symcat.com/conditions/schizophrenia	Schizophrenia	null	Arterial blood gases (ABGs)					
Hyponatremia	http://www.symcat.com/conditions/hyponatremia	Hyponatremia	"Also known as Sodium Deficiency, Sodium Depletion, and Decreased Serum Sodium"					Other	1.2x
Corneal abrasion	http://www.symcat.com/conditions/corneal-abrasion	Corneal abrasion	Also known as Cornea Scratch			Eyelid swelling	6		
Vulvodynia	http://www.symcat.com/conditions/vulvodynia	Vulvodynia	null			Burning abdominal pain	19		
Sickle cell anemia	http://www.symcat.com/conditions/sickle-cell-anemia	Sickle cell anemia	Also known as Sickle Cell Disorder		Collagen Topical				
Diabetic peripheral neuropathy	http://www.symcat.com/conditions/diabetic-peripheral-neuropathy	Diabetic peripheral neuropathy	null			Loss of sensation	33		
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis					Female	1.1x
Lipoma	http://www.symcat.com/conditions/lipoma	Lipoma	Also known as Fatty Tumor					Female	0.9x
Fracture of the vertebra	http://www.symcat.com/conditions/fracture-of-the-vertebra	Fracture of the vertebra	Also known as Spine Fracture and Spinal Fracture					1-4 years	0.1x
Subconjunctival hemorrhage	http://www.symcat.com/conditions/subconjunctival-hemorrhage	Subconjunctival hemorrhage	null					Male	1.4x
Metastatic cancer	http://www.symcat.com/conditions/metastatic-cancer	Metastatic cancer	Also known as Secondary Neoplasm	Complete blood count (Cbc)					
Cystitis	http://www.symcat.com/conditions/cystitis	Cystitis	Also known as Bladder Inflammation and Inflammation Of Bladder			Suprapubic pain	64		
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis	Plain x-ray (X ray)					
Seborrheic keratosis	http://www.symcat.com/conditions/seborrheic-keratosis	Seborrheic keratosis	"Also known as Seborrhoeic Keratosis, Senile Keratosis, Inverted Follicular Keratosis, Seborrheic Warts, and Basal Cell Papilloma"	Other non-OR therapeutic procedures on skin and breast					
Head and neck cancer	http://www.symcat.com/conditions/head-and-neck-cancer	Head and neck cancer	null			Tongue pain	6		
Allergy	http://www.symcat.com/conditions/allergy	Allergy	Also known as Hypersensitivity and Hypersensitivity Reaction		Levocetirizine (Xyzal)				
Parkinson disease	http://www.symcat.com/conditions/parkinson-disease	Parkinson disease	null					Hispanic	0.7x
Human immunodeficiency virus infection (HIV)	http://www.symcat.com/conditions/human-immunodeficiency-virus-infection-hiv	Human immunodeficiency virus infection (HIV)	Also known as HIV Infection		Zidovudine				
Macular degeneration	http://www.symcat.com/conditions/macular-degeneration	Macular degeneration	Also known as Macula Lutea Degeneration			Lacrimation	15		
Cystitis	http://www.symcat.com/conditions/cystitis	Cystitis	Also known as Bladder Inflammation and Inflammation Of Bladder					60-74 years	1.1x
Spontaneous abortion	http://www.symcat.com/conditions/spontaneous-abortion	Spontaneous abortion	Also known as Miscarriage and Miscarriage Of Pregnancy					Female	1.7x
Dementia	http://www.symcat.com/conditions/dementia	Dementia	null		Thiamine				
Pleural effusion	http://www.symcat.com/conditions/pleural-effusion	Pleural effusion	null					Other	0.8x
Shingles (herpes zoster)	http://www.symcat.com/conditions/shingles-herpes-zoster	Shingles (herpes zoster)	"Also known as Zoster, Herpes Zoster, and Herpes Zona"					5-14 years	0.3x
Prostate cancer	http://www.symcat.com/conditions/prostate-cancer	Prostate cancer	Also known as Cancer Of The Prostate and Malignant Neoplasm Of Prostate		Zoledronic Acid (Reclast)				
Herniated disk	http://www.symcat.com/conditions/herniated-disk	Herniated disk	Also known as Slipped Disk and Prolapsed Disk					60-74 years	1.1x
Benign prostatic hyperplasia (BPH)	http://www.symcat.com/conditions/benign-prostatic-hyperplasia-bph	Benign prostatic hyperplasia (BPH)	"Also known as BPH, Benign Prostatic Hypertrophy, and Benign Prostate Enlargement"					60-74 years	3.4x
Melanoma	http://www.symcat.com/conditions/melanoma	Melanoma	"Also known as Malignant Melanoma, Cutaneous Melanoma, Melanocarcinoma, Melanosarcoma, and Nevocarcinoma"					Other	0.2x
Chronic obstructive pulmonary disease (COPD)	http://www.symcat.com/conditions/chronic-obstructive-pulmonary-disease-copd	Chronic obstructive pulmonary disease (COPD)	Also known as COPD and Chronic Obstructive Lung Disease		Robitussin Ac				
Envenomation from spider or animal bite	http://www.symcat.com/conditions/envenomation-from-spider-or-animal-bite	Envenomation from spider or animal bite	null			Foot or toe swelling	16		
Sepsis	http://www.symcat.com/conditions/sepsis	Sepsis	Also known as Septicemia			Cough	31		
Idiopathic excessive menstruation	http://www.symcat.com/conditions/idiopathic-excessive-menstruation	Idiopathic excessive menstruation	null		Modicon				
Scleroderma	http://www.symcat.com/conditions/scleroderma	Scleroderma	Also known as Dermatosclerosis					75+ years	1.7x
Gastrointestinal hemorrhage	http://www.symcat.com/conditions/gastrointestinal-hemorrhage	Gastrointestinal hemorrhage	"Also known as GI Bleeding, Gi Bleed, Gastrointestinal Bleeding, Gastrointestinal Bleed, and GI Hemorrhage"			Diarrhea	45		
Fracture of the arm	http://www.symcat.com/conditions/fracture-of-the-arm	Fracture of the arm	Also known as Arm Fracture and Upper Extremity Fracture					Female	0.9x
Idiopathic irregular menstrual cycle	http://www.symcat.com/conditions/idiopathic-irregular-menstrual-cycle	Idiopathic irregular menstrual cycle	null	Chlamydia test					
Gum disease	http://www.symcat.com/conditions/gum-disease	Gum disease	Also known as Periodontal Disease and Parodontosis					30-44 years	1.4x
Gestational diabetes	http://www.symcat.com/conditions/gestational-diabetes	Gestational diabetes	"Also known as GDM, Gestational Diabetes Mellitus, and Pregnancy Induced Diabetes"		Insulin Isophane (Humulin N)				
Conjunctivitis due to allergy	http://www.symcat.com/conditions/conjunctivitis-due-to-allergy	Conjunctivitis due to allergy	Also known as Allergic Conjunctivitis and Atopic Conjunctivitis					Black	1.2x
Acute kidney injury	http://www.symcat.com/conditions/acute-kidney-injury	Acute kidney injury	"Also known as AKI, ARF, Acute Renal Failure, Acute Kidney Failure, Acute Renal Insufficiency, and Acute Renal Shutdown"					Hispanic	0.7x
Gastroduodenal ulcer	http://www.symcat.com/conditions/gastroduodenal-ulcer	Gastroduodenal ulcer	Also known as PUD and Peptic Ulcer Disease		Misoprostol				
Nerve impingement near the shoulder	http://www.symcat.com/conditions/nerve-impingement-near-the-shoulder	Nerve impingement near the shoulder	Also known as Shoulder Impingement Syndrome and Subacromial Impingement			Shoulder pain	96		
Tension headache	http://www.symcat.com/conditions/tension-headache	Tension headache	Also known as Stress Headache and Tension Type Headache					45-59 years	1.0x
Drug abuse (cocaine)	http://www.symcat.com/conditions/drug-abuse-cocaine	Drug abuse (cocaine)	Also known as Cocaine Abuse			Excessive anger	5		
Gum disease	http://www.symcat.com/conditions/gum-disease	Gum disease	Also known as Periodontal Disease and Parodontosis			Fever	36		
Seborrheic dermatitis	http://www.symcat.com/conditions/seborrheic-dermatitis	Seborrheic dermatitis	Also known as Seborrhea and Seborrheic Eczema	Other therapeutic procedures					
Personality disorder	http://www.symcat.com/conditions/personality-disorder	Personality disorder	null		Benztropine				
