title	other_names	desc	causes	percentages	related	related_p	tests	meds	ages	ages_freq	sex	sex_freq	race	race_freq
Swollen lymph nodes	"Also known as Lymphadenopathy, Swollen glands, and Enlargement Of Lymph Nodes"	"Lymphadenopathy is a term meaning ""disease of the lymph nodes."" It is, however, almost synonymously used with ""swollen/enlarged lymph nodes"". It could be due to infection, auto-immune disease, or malignancy."	Mononucleosis	27	Neck pain	38	Other OR therapeutic nervous system procedures	Mesalamine (Asacol)	30-44 years	0.6x				
Swollen lymph nodes	"Also known as Lymphadenopathy, Swollen glands, and Enlargement Of Lymph Nodes"	"Lymphadenopathy is a term meaning ""disease of the lymph nodes."" It is, however, almost synonymously used with ""swollen/enlarged lymph nodes"". It could be due to infection, auto-immune disease, or malignancy."	Chronic sinusitis	4	Difficulty in swallowing	31	Other OR therapeutic procedures on nose; mouth and pharynx	Griseofulvin	75+ years	0.1x				
Swollen lymph nodes	"Also known as Lymphadenopathy, Swollen glands, and Enlargement Of Lymph Nodes"	"Lymphadenopathy is a term meaning ""disease of the lymph nodes."" It is, however, almost synonymously used with ""swollen/enlarged lymph nodes"". It could be due to infection, auto-immune disease, or malignancy."	Sialoadenitis	3	Throat feels tight	52	Influenzavirus antibody assay	Penicillin	< 1 years	1.3x				
Swollen lymph nodes	"Also known as Lymphadenopathy, Swollen glands, and Enlargement Of Lymph Nodes"	"Lymphadenopathy is a term meaning ""disease of the lymph nodes."" It is, however, almost synonymously used with ""swollen/enlarged lymph nodes"". It could be due to infection, auto-immune disease, or malignancy."	Lymphadenitis	6	Cough	15	Complete physical skin exam performed (ML)	Fluphenazine (Prolixin)	5-14 years	1.8x				
Swollen lymph nodes	"Also known as Lymphadenopathy, Swollen glands, and Enlargement Of Lymph Nodes"	"Lymphadenopathy is a term meaning ""disease of the lymph nodes."" It is, however, almost synonymously used with ""swollen/enlarged lymph nodes"". It could be due to infection, auto-immune disease, or malignancy."			Sore lymph nodes	8								
Swollen lymph nodes	"Also known as Lymphadenopathy, Swollen glands, and Enlargement Of Lymph Nodes"	"Lymphadenopathy is a term meaning ""disease of the lymph nodes."" It is, however, almost synonymously used with ""swollen/enlarged lymph nodes"". It could be due to infection, auto-immune disease, or malignancy."			Sore throat	32								
Swollen lymph nodes	"Also known as Lymphadenopathy, Swollen glands, and Enlargement Of Lymph Nodes"	"Lymphadenopathy is a term meaning ""disease of the lymph nodes."" It is, however, almost synonymously used with ""swollen/enlarged lymph nodes"". It could be due to infection, auto-immune disease, or malignancy."			Ache all over	25								
Swollen lymph nodes	"Also known as Lymphadenopathy, Swollen glands, and Enlargement Of Lymph Nodes"	"Lymphadenopathy is a term meaning ""disease of the lymph nodes."" It is, however, almost synonymously used with ""swollen/enlarged lymph nodes"". It could be due to infection, auto-immune disease, or malignancy."			Headache	82								
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."	Epilepsy	2	Diminished hearing	24	Radiographic imaging procedure	Nimodipine	75+ years	0.5x	Male	0.9x	White	0.7x
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."	Conductive hearing loss	2	Dizziness	36	Complete blood count (Cbc)	Riluzole	15-29 years	2.4x	Female	1.1x	Black	1.0x
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."	Decubitus ulcer	2	Weakness	18	X-ray computed tomography (Scan ct)	Galantamine	60-74 years	0.7x			Other	1.1x
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."	Transient ischemic attack	2	Depressive or psychotic symptoms	12	Electrolytes panel	Fosphenytoin	< 1 years	1.1x			Hispanic	1.2x
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."	Chronic ulcer	9	Problems with movement	36	Electrocardiogram	Rotigotine (Neupro)	45-59 years	2.7x				
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."	Stroke	8	Focal weakness	21	Hematologic tests (Blood test)	Temozolomide	5-14 years	0.3x				
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."	Attention deficit hyperactivity disorder (ADHD)	15	Abnormal involuntary movements	15	Glucose measurement (Glucose level)	Creatine	30-44 years	0.2x				
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."	Developmental disability	3	Restlessness	49	Kidney function tests (Kidney function test)	Rivastigmine (Exelon)	1-4 years	1.5x				
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."			Headache	37		Alteplase						
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."			Difficulty in swallowing	10		Papain-Urea Topical						
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."			Disturbance of memory	18		Pentobarbital						
Difficulty speaking	"Also known as Groping for words, Trouble talking, Aphasia, Verbal apraxia, Unable to talk, and Sudden inability to speak"	"Aphasia (/__fe___/, /__fe_zi_/ or /e__fe_zi_/; from ancient Greek aphatos meaning ______ (______, _- + ____), ""speechlessness"", derived from phat meaning ""spoken"") is a disturbance of the comprehension and formulation of language caused by dysfunction in specific brain regions. This class of language disorder ranges from having difficulty remembering words to losing the ability to speak, read, or write. This also affects visual language such as sign language. Aphasia is usually linked to brain damage, most commonly by stroke. Brain damage linked to aphasia can also cause further brain diseases, including cancer, epilepsy and Alzheimer's disease."			Loss of sensation	35								
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Bruise	8	Hip pain	74	Intravenous fluid replacement	Turmeric Extract	15-29 years	0.9x	Male	1.1x	White	0.9x
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Sciatica	10	Side pain	44	Urinalysis	Oxandrolone	5-14 years	0.0x	Female	0.9x	Hispanic	1.0x
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Pyogenic skin infection	8	Leg pain	38	Radiographic imaging procedure	Tenecteplase	< 1 years	1.1x			Black	1.0x
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Sprain or strain	4	Back pain	27	Glucose measurement (Glucose level)	Famciclovir	60-74 years	0.1x			Other	0.9x
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Lumbago	9	Shoulder pain	21	Kidney function tests (Kidney function test)	Castor Oil (Purge)	75+ years	1.3x				
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Chronic back pain	4	Neck pain	37	Plain x-ray (X ray)	Tigecycline	45-59 years	1.5x				
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Spinal stenosis	3	Sharp chest pain	63	Hematologic tests (Blood test)	Metyrapone	30-44 years	1.0x				
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Pain after an operation	4	Sharp abdominal pain	68	Complete blood count (Cbc)	Chlorzoxazone	1-4 years	0.1x				
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Low back pain	42		Trichloroacetic Acid Topical						
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Lower abdominal pain	37		Lipase						
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Arm pain	39		Fluticasone						
Lower body pain	"Also known as Buttock pain, Gluteal pain, and Perineal pain"	Lower body pain is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Upper abdominal pain	66		Lidocaine Topical Product						
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."	Abdominal hernia	5	Pain in testicles	36	Urinalysis	Urokinase	< 1 years	1.2x	Female	0.7x	Black	0.8x
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."	Urinary tract infection	4	Lower abdominal pain	29	Glucose measurement (Glucose level)	Dexamethasone Ophthalmic	60-74 years	1.4x	Male	1.5x	Hispanic	1.1x
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."	Inguinal hernia	12	Groin mass	29	Complete blood count (Cbc)	Diflunisal	1-4 years	0.0x			Other	0.8x
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."	Pyogenic skin infection	4	Side pain	13	X-ray computed tomography (Scan ct)	Cabergoline	75+ years	1.2x			White	1.0x
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."	Osteoarthritis	11	Sharp abdominal pain	18	Radiographic imaging procedure	Ginkgo Biloba Extract (Ginkgo)	45-59 years	0.9x				
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."	Sprain or strain	3	Painful urination	34	Hematologic tests (Blood test)	Mexiletine	30-44 years	0.2x				
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."	Chronic back pain	4	Low back pain	15	Kidney function tests (Kidney function test)	Hyaluronidase	5-14 years	1.2x				
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."	Kidney stone	3	Leg pain	31	Intravenous fluid replacement	Procainamide	15-29 years	0.3x				
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."			Swollen abdomen	15		Sodium Citrate						
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."			Back pain	18								
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."			Hip pain	17								
Groin pain	"Also known as Pubic pain, Inguinal Pain, and Inguinodynia"	"Post herniorrhaphy pain syndrome, or inguinodynia is pain or discomfort lasting greater than 3 months after surgery of inguinal hernia. Randomized trials of laparoscopic vs open inguinal hernia repair have demonstrated similar recurrence rates with the use of mesh and have identified that chronic groin pain (>10%) surpasses recurrence (<2%) and is an important measure of success."			Lower body pain	25								
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."	Oral thrush (yeast infection)	5	Itching of skin	28	Complete physical skin exam performed (ML)	Zinc Oxide Topical	5-14 years	0.1x	Male	1.0x	Other	1.7x
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."	Otitis media	6	Cough	13	Nonoperative urinary system measurements	Selenium Sulfide Topical	30-44 years	15.6x	Female	0.9x	White	0.7x
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."	Contact dermatitis	3	Fever	26	Prophylactic vaccinations and inoculations	Miconazole Topical Product	75+ years	7.0x			Black	1.3x
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."	Onychomycosis	5	Skin swelling	13	Rectal examination	Retapamulin Topical	45-59 years	0.1x			Hispanic	1.5x
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."	Diaper rash	7	Pulling at ears	4	Culture wound	Hydrocortisone Topical	< 1 years	0.1x				
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."	Balanitis	52	Diarrhea	10	Other diagnostic procedures (interview; evaluation; consultation)	Gemtuzumab (Mylotarg)	1-4 years	0.1x				
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."	Pyogenic skin infection	7	Irritable infant	32	Other OR gastrointestinal therapeutic procedures	Clotrimazole Topical	15-29 years	0.1x				
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."	Yeast infection	5	Skin irritation	7		Oxiconazole Topical	60-74 years	0.0x				
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."			Skin rash	34		Ketoconazole						
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."			Infant spitting up	7		Nystatin Topical Product						
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."			Suprapubic pain	52		Simethicone (Degas)						
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."			Nasal congestion	13		Betamethasone-Clotrimazole Topical						
Diaper rash	null	"Irritant diaper dermatitis, also known as ""diaper dermatitis"" and ""napkin dermatitis"":80 and commonly known as diaper rash (U.S.) or nappy rash (UK, AUS), is a generic term applied to skin rashes in the diaper area that are caused by various skin disorders and/or irritants."						Permethrin Topical						
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.	Panic disorder	3	Difficulty breathing	31	Electrolytes panel	Ibandronate (Boniva)	5-14 years	1.2x	Male	0.8x	Black	0.8x
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.	Acute bronchiolitis	11	Fainting	45	Electrocardiogram	Prednisolone	< 1 years	0.3x	Female	1.2x	Other	0.8x
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.	Anxiety	5	Anxiety and nervousness	66	Intravenous fluid replacement	Triamcinolone Nasal Product	30-44 years	1.0x			White	1.6x
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.	Panic attack	4	Cough	31	Plain x-ray (X ray)	Sodium Polystyrene Sulfonate (Kayexalate)	15-29 years	0.9x			Hispanic	2.0x
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.	Urinary tract infection	4	Palpitations	36	Kidney function tests (Kidney function test)	Calcium Acetate	45-59 years	1.3x				
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.	Acute stress reaction	16	Fever	18	Hematologic tests (Blood test)	Ethosuximide	1-4 years	1.3x				
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.	Depression	5	Sharp chest pain	18	Radiographic imaging procedure	Cimetidine	75+ years	0.4x				
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.	Chronic obstructive pulmonary disease (COPD)	4	Dizziness	48	Complete blood count (Cbc)	Lorazepam	60-74 years	4.6x				
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.			Abnormal involuntary movements	18		Tegaserod (Zelnorm)						
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.			Nausea	31								
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.			Shortness of breath	54								
Breathing fast	"Also known as Hyperventilation, Tachypnea, Rapid Breathing, Increased Respiratory Rate, and Tachypneic"	Hyperventilation occurs when the rate and quantity of alveolar ventilation of carbon dioxide exceeds body's production of carbon dioxide.			Wheezing	45								
