meds	meds-href	title	other_names	desc	diseases	side_effects
Risedronate	http://www.symcat.com/medications/risedronate	Risedronate (Actonel)	Also known as Actonel	"Risedronic acid (INN) or risedronate sodium (USAN) is a bisphosphonate used to strengthen bone, treat or prevent osteoporosis, and treat Paget's disease of bone. It is produced and marketed by Warner Chilcott, Sanofi-Aventis, and in Japan by Takeda under the trade names Actonel, Atelvia, and Benet. It is also available in a preparation that includes a calcium carbonate supplement, as Actonel with Calcium."		Anemia
Metformin	http://www.symcat.com/medications/metformin	Metformin	"Also known as Glucovance 1.25 Mg/250 Mg, Glucovance 2.5 Mg/500 Mg, Glucovance 5 Mg/500 Mg, Metaglip 2.5 Mg/250 Mg, Metaglip 5 Mg/500 Mg, Metaglip 2.5 Mg/500 Mg, Glucamet, Glucophage, Riomet, and Fortamet"	"Metformin (BP, pronounced /m_t_f_rm_n/, met-FAWR-min; originally sold as Glucophage) is an oral antidiabetic drug in the biguanide class. It is the first-line drug of choice for the treatment of type 2 diabetes, in particular, in overweight and obese people and those with normal kidney function. Its use in gestational diabetes has been limited by safety concerns. It is also used in the treatment of polycystic ovary syndrome, and has been investigated for other diseases where insulin resistance may be an important factor. Metformin works by suppressing glucose production by the liver."		Vomiting
Isosorbide	http://www.symcat.com/medications/isosorbide	Isosorbide	"Also known as Angeze, Elantan, Elantan La, Imdur, Isib, Ismo Retard, Isotrate, Monit, Monit Ls, and Monit Sr"	Isosorbide is a heterocyclic compound that is derived from glucose. It is a white solid that is prepared from glucose. It is used in medicine and has been touted as a potential biofeedstock.	Angina	
Levetiracetam	http://www.symcat.com/medications/levetiracetam	Levetiracetam (Keppra)	Also known as Keppra	"Levetiracetam (INN)  is an anticonvulsant medication used to treat epilepsy. It is the S-enantiomer of etiracetam, structurally similar to the prototypical nootropic drug piracetam."		Emotional symptoms
Methylprednisolone	http://www.symcat.com/medications/methylprednisolone	Methylprednisolone (Medrol)	"Also known as Medrol, Depmedalone, and Duralone"	Methylprednisolone is a synthetic glucocorticoid or corticosteroid drug. It is marketed in the USA and Canada under the brand names Medrol and Solu-Medrol. It is also available as a generic drug.	Disturbance of smell or taste	
Carbamazepine	http://www.symcat.com/medications/carbamazepine	Carbamazepine	Also known as Tegretol and Epitol	"Carbamazepine (CBZ) (Tegretol, Equetro) is an anticonvulsant and mood-stabilizing drug used primarily in the treatment of epilepsy and bipolar disorder, as well as trigeminal neuralgia. It is also used off-label for a variety of indications, including attention-deficit hyperactivity disorder (ADHD), schizophrenia, phantom limb syndrome, complex regional pain syndrome, paroxysmal extreme pain disorder, neuromyotonia, intermittent explosive disorder, borderline personality disorder, Myotonia congenita and post-traumatic stress disorder."		Nausea
Desloratadine	http://www.symcat.com/medications/desloratadine	Desloratadine (Clarinex)	Also known as Clarinex	"Desloratadine is a drug used to treat allergies. It is marketed under several trade names such as NeoClarityn, Claramax, Clarinex, Larinex, Aerius, Dazit, Azomyr, Deselex and Delot. It is an active metabolite of loratadine, which is also on the market."	Abnormal size or shape of ear	
Oxymetazoline Nasal	http://www.symcat.com/medications/oxymetazoline-nasal	Oxymetazoline Nasal	null	Oxymetazoline Nasal is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Acute sinusitis	
Tacrolimus	http://www.symcat.com/medications/tacrolimus	Tacrolimus (Prograf)	Also known as Prograf and Protopic	"Tacrolimus (also FK-506 or fujimycin, trade names Prograf, Advagraf, Protopic) is an immunosuppressive drug that is mainly used after allogeneic organ transplant to reduce the activity of the patient's immune system and so lower the risk of organ rejection. It is also used in a topical preparation in the treatment of atopic dermatitis (eczema), severe refractory uveitis after bone marrow transplants, exacerbations of minimal change disease, and the skin condition vitiligo."		Skin rash
Nystatin Topical Product	http://www.symcat.com/medications/nystatin-topical-product	Nystatin Topical Product	"Also known as Nyamyc Topical Product, Nystan Topical Product, Nystex Topical Product, Nystop Topical Product, Pedi-Dri Topical Product, Pediaderm Af Topical Product, Mycostatin Topical Product, and Mycostatin Topical Topical Product"	Nystatin Topical Product is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Diaper rash	
Tacrolimus	http://www.symcat.com/medications/tacrolimus	Tacrolimus (Prograf)	Also known as Prograf and Protopic	"Tacrolimus (also FK-506 or fujimycin, trade names Prograf, Advagraf, Protopic) is an immunosuppressive drug that is mainly used after allogeneic organ transplant to reduce the activity of the patient's immune system and so lower the risk of organ rejection. It is also used in a topical preparation in the treatment of atopic dermatitis (eczema), severe refractory uveitis after bone marrow transplants, exacerbations of minimal change disease, and the skin condition vitiligo."		Pneumonia
Clonidine	http://www.symcat.com/medications/clonidine	Clonidine	"Also known as Clorpres 0.1/15, Clorpres 0.2/15, Clorpres 0.3/15, Combipres 0.1/15, Combipres 0.2/15, Combipres 0.3/15, Dixarit, Catapres, Catapres-Tts-1, and Catapres-Tts-2"	"Clonidine (trade name Kapvay or Nexiclon) is a sympatholytic medication used to treat high blood pressure, ADHD, anxiety/panic disorder, and certain pain conditions. It is classified as a centrally acting _2 adrenergic agonist. An alternative hypothesis that has been proposed is that clonidine acts centrally as an imidazoline receptor agonist."		Pain
Bupropion	http://www.symcat.com/medications/bupropion	Bupropion (Wellbutrin)	Also known as Wellbutrin and Zyban	"Bupropion (/bju__pro_pi._n/ bew-PROH-pee-on; marketed as Wellbutrin, Zyban, Voxra, Budeprion, Prexaton, Elontril or Aplenzin; and formerly known as amfebutamone) is an atypical antidepressant and smoking cessation aid. Its chemical name is 3-chloro-N-tert-butyl-_-ketoamphetamine, a substituted cathinone (_-ketoamphetamine), as well as substituted amphetamine. The drug therefore is a mild psychostimulant. Its primary pharmacological action is norepinephrine-dopamine reuptake inhibition. It binds selectively to the dopamine transporter, but its behavioural effects have often been attributed to its inhibition of norepinephrine reuptake. It also acts as a nicotinic acetylcholine receptor antagonist. Bupropion belongs to the chemical class of aminoketones and is similar in structure to stimulants cathinone and diethylpropion, and to phenethylamines in general. Medically, bupropion serves as a non-tricyclic antidepressant fundamentally different to most commonly prescribed antidepressants such as SSRIs."	Post-traumatic stress disorder (PTSD)	
Glyburide	http://www.symcat.com/medications/glyburide	Glyburide	Also known as Micronase and Diabeta	"Glibenclamide (INN), also known as glyburide (USAN), is an antidiabetic drug in a class of medications known as sulfonylureas, closely related to sulfa drugs. It was developed in 1966 in a cooperative study between Boehringer Mannheim (now part of Roche) and Hoechst (now part of Sanofi-Aventis)."	Diabetic peripheral neuropathy	
Mesalamine	http://www.symcat.com/medications/mesalamine	Mesalamine (Asacol)	"Also known as Pentasa, Asacol, Rowasa, Lialda, and Apriso"	"Mesalazine (INN, BAN), also known as mesalamine (USAN) or 5-aminosalicylic acid (5-ASA), is an anti-inflammatory drug used to treat inflammatory bowel disease, such as ulcerative colitis and mild-to-moderate Crohn's disease. Mesalazine is a bowel-specific aminosalicylate drug that acts locally in the gut and has its predominant actions there, thereby having few systemic side effects."		Acne
Diltiazem	http://www.symcat.com/medications/diltiazem	Diltiazem	"Also known as Adizem, Adizem-Xl, Angiozem, Angitil Sr, Britiazim, Calcicard Cr, Dilzem Sr, Dilzem Xl, Metazem, and Slozem"	"Diltiazem is a nondihydropyridine (non-DHP) member of the class of drugs known as calcium channel blockers, used in the treatment of hypertension, angina pectoris, and some types of arrhythmia."	Atrial flutter	
Quetiapine	http://www.symcat.com/medications/quetiapine	Quetiapine (Seroquel)	Also known as Seroquel	"Quetiapine  (branded as Seroquel, Xeroquel, Ketipinor), is an atypical antipsychotic approved for the treatment of schizophrenia, bipolar disorder, and along with an SSRI to treat major depressive disorder."		Difficulty in swallowing
Risedronate	http://www.symcat.com/medications/risedronate	Risedronate (Actonel)	Also known as Actonel	"Risedronic acid (INN) or risedronate sodium (USAN) is a bisphosphonate used to strengthen bone, treat or prevent osteoporosis, and treat Paget's disease of bone. It is produced and marketed by Warner Chilcott, Sanofi-Aventis, and in Japan by Takeda under the trade names Actonel, Atelvia, and Benet. It is also available in a preparation that includes a calcium carbonate supplement, as Actonel with Calcium."		Cataract
Metformin	http://www.symcat.com/medications/metformin	Metformin	"Also known as Glucovance 1.25 Mg/250 Mg, Glucovance 2.5 Mg/500 Mg, Glucovance 5 Mg/500 Mg, Metaglip 2.5 Mg/250 Mg, Metaglip 5 Mg/500 Mg, Metaglip 2.5 Mg/500 Mg, Glucamet, Glucophage, Riomet, and Fortamet"	"Metformin (BP, pronounced /m_t_f_rm_n/, met-FAWR-min; originally sold as Glucophage) is an oral antidiabetic drug in the biguanide class. It is the first-line drug of choice for the treatment of type 2 diabetes, in particular, in overweight and obese people and those with normal kidney function. Its use in gestational diabetes has been limited by safety concerns. It is also used in the treatment of polycystic ovary syndrome, and has been investigated for other diseases where insulin resistance may be an important factor. Metformin works by suppressing glucose production by the liver."		Hypoglycemia
Atomoxetine	http://www.symcat.com/medications/atomoxetine	Atomoxetine (Strattera)	Also known as Strattera	"Atomoxetine is a drug approved for the treatment of attention-deficit hyperactivity disorder (ADHD). It is a selective norepinephrine reuptake inhibitor (NRI), not to be confused with selective serotonin and norepinephrine reuptake inhibitors (SNRIs) or selective serotonin reuptake inhibitors (SSRIs), both of which are currently the most prescribed form of antidepressants. This compound is manufactured, marketed and sold in the United States under the brand name Strattera by Eli Lilly and Company as a hydrochloride salt (atomoxetine HCl), the original patent filing company, and current U.S. patent owner. Generics of atomoxetine are sold in all other countries; they are manufactured by Torrent Pharmaceuticals using the label Tomoxetin, Ranbaxy Laboratories (through its Division: Solus) using the label Attentin, Sun Pharmaceuticals (through its Division: Milmet Pharmaceuticals), and Intas Biopharmaceuticals. There is currently no generic manufactured directly in the United States since it is under patent until 2017. On August 12, 2010, Lilly lost a lawsuit that challenged Lilly's patent on Strattera, increasing the likelihood of an earlier entry of a generic into the US market. On September 1, 2010, Sun Pharmaceuticals announced it would begin manufacturing a generic in the United States. In a July 29, 2011 conference call, however, Sun Pharmaceutical's Chairman stated ""Lilly won that litigation on appeal so I think ’s deferred."""		Weight loss
Doxycycline	http://www.symcat.com/medications/doxycycline	Doxycycline	"Also known as Cyclodox, Demix, Doxylar, Nordox, Ramysis, Vibramycin Acne Pack, Vibramycin, Doryx, Doxy Lemmon, and Doxy-Caps"	"Doxycycline is a member of the tetracycline antibiotics group, and is commonly used to treat a variety of infections. Doxycycline is a semisynthetic tetracycline invented and clinically developed in the early 1960s by Pfizer Inc. and marketed under the brand name Vibramycin. Vibramycin received US Food and Drug Administration approval in 1967,. Other brand names include Monodox, Microdox, Periostat, Vibra-Tabs, Oracea, Doryx, Vibrox, Adoxa, Doxyhexal, Doxylin, Doxoral, Doxy-1 and Atridox (topical doxycycline hyclate for periodontitis)."		Headache
Alprazolam	http://www.symcat.com/medications/alprazolam	Alprazolam (Xanax)	Also known as Xanax	"Alprazolam pron.: /æl_præz_læm/ (trade name Xanax, available among other generic names) is a short-acting anxiolytic of the benzodiazepine class of psychoactive drugs. Alprazolam, like other benzodiazepines, binds to specific sites on the GABAA gamma-amino-butyric acid receptor. Alprazolam is commonly used and FDA approved for the medical treatment of panic disorder, and anxiety disorders, such as generalized anxiety disorder (GAD) or social anxiety disorder (SAD). Alprazolam is available for oral administration in compressed tablet (CT) and extended-release capsule (XR) formulations. Alprazolam possesses anxiolytic, sedative, hypnotic, skeletal muscle relaxant, anticonvulsant, and amnestic properties."		Anxiety
Oxcarbazepine	http://www.symcat.com/medications/oxcarbazepine	Oxcarbazepine (Trileptal)	Also known as Trileptal	"Oxcarbazepine (ox-kar-BAZ-ih-peen) is an anticonvulsant and mood stabilizing drug, used primarily in the treatment of epilepsy. It is also used to treat anxiety and mood disorders, and benign motor tics. Oxcarbazepine is marketed as Trileptal by Novartis and available in some countries as a generic drug."		Sweating
Gemfibrozil	http://www.symcat.com/medications/gemfibrozil	Gemfibrozil	Also known as Lopid	"Gemfibrozil is the generic name for an oral drug used to lower lipid levels. It belongs to a group of drugs known as fibrates. It is most commonly sold as the brand name, Lopid. Other brand names include Jezil and Gen-Fibro."		Constipation
Isosorbide	http://www.symcat.com/medications/isosorbide	Isosorbide	"Also known as Angeze, Elantan, Elantan La, Imdur, Isib, Ismo Retard, Isotrate, Monit, Monit Ls, and Monit Sr"	Isosorbide is a heterocyclic compound that is derived from glucose. It is a white solid that is prepared from glucose. It is used in medicine and has been touted as a potential biofeedstock.	Peripheral arterial disease	
Erythromycin	http://www.symcat.com/medications/erythromycin	Erythromycin	"Also known as Ilotycin, E-Mycin, Ery-Tab, Eryderm, Robimycin, and Eryc"	"Erythromycin is a macrolide antibiotic that has an antimicrobial spectrum similar to or slightly wider than that of penicillin, and is often prescribed for people who have an allergy to penicillins. For respiratory tract infections, it has better coverage of atypical organisms, including Mycoplasma and legionellosis. It was first marketed by Eli Lilly and Company, and it is today commonly known as EES (erythromycin ethylsuccinate, an ester prodrug that is commonly administered). It is also occasionally used as a prokinetic agent."	Acne	
Povidone Iodine Topical	http://www.symcat.com/medications/povidone-iodine-topical	Povidone Iodine Topical (Betadine)	"Also known as Povidone-Iodine, Povidone Iodine, Pvp-Iodine, Pvp Iodine, Betadine, Iodine Povidone Topical, Videne, E-Z Prep, E-Z Scrub, and Povidone-Iodine Solution"	"Povidone-iodine (PVP-I) is a stable chemical complex of polyvinylpyrrolidone (povidone, PVP) and elemental iodine. It contains from 9.0% to 12.0% available iodine, calculated on a dry basis."	Open wound of the finger	
Vancomycin	http://www.symcat.com/medications/vancomycin	Vancomycin	"Also known as Vancocin, Lyphocin, Vancocin Cp, and Vancoled"	"Vancomycin INN  is a glycopeptide antibiotic used in the prophylaxis and treatment of infections caused by Gram-positive bacteria. Vancomycin was first isolated in 1953 at Eli Lilly, from a soil sample collected from the interior jungles of Borneo by a missionary. It is a naturally occurring antibiotic made by the soil bacterium Actinobacteria species Amycolatopsis orientalis (formerly designated Nocardia orientalis). It is a complex chemical compound and an example of a comparatively rare haloorganic natural compound, containing two covalently bonded chlorine atoms."	Kidney failure	
Bupropion	http://www.symcat.com/medications/bupropion	Bupropion (Wellbutrin)	Also known as Wellbutrin and Zyban	"Bupropion (/bju__pro_pi._n/ bew-PROH-pee-on; marketed as Wellbutrin, Zyban, Voxra, Budeprion, Prexaton, Elontril or Aplenzin; and formerly known as amfebutamone) is an atypical antidepressant and smoking cessation aid. Its chemical name is 3-chloro-N-tert-butyl-_-ketoamphetamine, a substituted cathinone (_-ketoamphetamine), as well as substituted amphetamine. The drug therefore is a mild psychostimulant. Its primary pharmacological action is norepinephrine-dopamine reuptake inhibition. It binds selectively to the dopamine transporter, but its behavioural effects have often been attributed to its inhibition of norepinephrine reuptake. It also acts as a nicotinic acetylcholine receptor antagonist. Bupropion belongs to the chemical class of aminoketones and is similar in structure to stimulants cathinone and diethylpropion, and to phenethylamines in general. Medically, bupropion serves as a non-tricyclic antidepressant fundamentally different to most commonly prescribed antidepressants such as SSRIs."		Anxiety
Olanzapine	http://www.symcat.com/medications/olanzapine	Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Fever
Pramipexole	http://www.symcat.com/medications/pramipexole	Pramipexole (Mirapex)	Also known as Mirapex	"Pramipexole (Mirapex, Mirapexin, Sifrol) is a dopamine agonist of the non-ergoline class indicated for treating early-stage Parkinson's disease (PD) and restless legs syndrome (RLS). It is also sometimes used off-label as a treatment for cluster headache and to counteract problems with sexual dysfunction experienced by some users of selective serotonin reuptake inhibitor (SSRI) antidepressants. Pramipexole has shown robust effects on pilot studies in a placebo-controlled proof of concept study in bipolar disorder.   It is also being investigated for the treatment of clinical depression and fibromyalgia."		Peripheral edema
Fentanyl	http://www.symcat.com/medications/fentanyl	Fentanyl	"Also known as Duragesic, Abstral, Sublimaze, and Actiq"	"Fentanyl (also known as fentanil, brand names Sublimaze, Actiq, Durogesic, Duragesic, Fentora, Matrifen, Haldid, Onsolis, Instanyl, Abstral, Lazanda and others) is a potent, synthetic opioid analgesic with a rapid onset and short duration of action. It is a strong agonist at the _-opioid receptors. Historically it has been used to treat breakthrough pain and is commonly used in pre-procedures as a pain reliever as well as an anesthetic in combination with a benzodiazepine."		Pain
Bupropion	http://www.symcat.com/medications/bupropion	Bupropion (Wellbutrin)	Also known as Wellbutrin and Zyban	"Bupropion (/bju__pro_pi._n/ bew-PROH-pee-on; marketed as Wellbutrin, Zyban, Voxra, Budeprion, Prexaton, Elontril or Aplenzin; and formerly known as amfebutamone) is an atypical antidepressant and smoking cessation aid. Its chemical name is 3-chloro-N-tert-butyl-_-ketoamphetamine, a substituted cathinone (_-ketoamphetamine), as well as substituted amphetamine. The drug therefore is a mild psychostimulant. Its primary pharmacological action is norepinephrine-dopamine reuptake inhibition. It binds selectively to the dopamine transporter, but its behavioural effects have often been attributed to its inhibition of norepinephrine reuptake. It also acts as a nicotinic acetylcholine receptor antagonist. Bupropion belongs to the chemical class of aminoketones and is similar in structure to stimulants cathinone and diethylpropion, and to phenethylamines in general. Medically, bupropion serves as a non-tricyclic antidepressant fundamentally different to most commonly prescribed antidepressants such as SSRIs."		High blood pressure
Diltiazem	http://www.symcat.com/medications/diltiazem	Diltiazem	"Also known as Adizem, Adizem-Xl, Angiozem, Angitil Sr, Britiazim, Calcicard Cr, Dilzem Sr, Dilzem Xl, Metazem, and Slozem"	"Diltiazem is a nondihydropyridine (non-DHP) member of the class of drugs known as calcium channel blockers, used in the treatment of hypertension, angina pectoris, and some types of arrhythmia."		Constipation
Doxycycline	http://www.symcat.com/medications/doxycycline	Doxycycline	"Also known as Cyclodox, Demix, Doxylar, Nordox, Ramysis, Vibramycin Acne Pack, Vibramycin, Doryx, Doxy Lemmon, and Doxy-Caps"	"Doxycycline is a member of the tetracycline antibiotics group, and is commonly used to treat a variety of infections. Doxycycline is a semisynthetic tetracycline invented and clinically developed in the early 1960s by Pfizer Inc. and marketed under the brand name Vibramycin. Vibramycin received US Food and Drug Administration approval in 1967,. Other brand names include Monodox, Microdox, Periostat, Vibra-Tabs, Oracea, Doryx, Vibrox, Adoxa, Doxyhexal, Doxylin, Doxoral, Doxy-1 and Atridox (topical doxycycline hyclate for periodontitis)."		Cramps and spasms
Lovastatin	http://www.symcat.com/medications/lovastatin	Lovastatin	Also known as Mevacor	"Lovastatin (Merck's Mevacor) is a member of the drug class of statins, used in combination with diet, weight-loss, and exercise for lowering cholesterol (hypolipidemic agent) in those with hypercholesterolemia to reduce risk of cardiovascular disease. Lovastatin is a naturally occurring drug found in food such as oyster mushrooms and red yeast rice."		Diarrhea
Pravastatin	http://www.symcat.com/medications/pravastatin	Pravastatin	Also known as Pravachol	"Pravastatin (marketed as Pravachol or Selektine) is a member of the drug class of statins, used in combination with diet, exercise, and weight-loss for lowering cholesterol and preventing cardiovascular disease."		Fatigue
Mesalamine	http://www.symcat.com/medications/mesalamine	Mesalamine (Asacol)	"Also known as Pentasa, Asacol, Rowasa, Lialda, and Apriso"	"Mesalazine (INN, BAN), also known as mesalamine (USAN) or 5-aminosalicylic acid (5-ASA), is an anti-inflammatory drug used to treat inflammatory bowel disease, such as ulcerative colitis and mild-to-moderate Crohn's disease. Mesalazine is a bowel-specific aminosalicylate drug that acts locally in the gut and has its predominant actions there, thereby having few systemic side effects."		Pain of the anus
Atomoxetine	http://www.symcat.com/medications/atomoxetine	Atomoxetine (Strattera)	Also known as Strattera	"Atomoxetine is a drug approved for the treatment of attention-deficit hyperactivity disorder (ADHD). It is a selective norepinephrine reuptake inhibitor (NRI), not to be confused with selective serotonin and norepinephrine reuptake inhibitors (SNRIs) or selective serotonin reuptake inhibitors (SSRIs), both of which are currently the most prescribed form of antidepressants. This compound is manufactured, marketed and sold in the United States under the brand name Strattera by Eli Lilly and Company as a hydrochloride salt (atomoxetine HCl), the original patent filing company, and current U.S. patent owner. Generics of atomoxetine are sold in all other countries; they are manufactured by Torrent Pharmaceuticals using the label Tomoxetin, Ranbaxy Laboratories (through its Division: Solus) using the label Attentin, Sun Pharmaceuticals (through its Division: Milmet Pharmaceuticals), and Intas Biopharmaceuticals. There is currently no generic manufactured directly in the United States since it is under patent until 2017. On August 12, 2010, Lilly lost a lawsuit that challenged Lilly's patent on Strattera, increasing the likelihood of an earlier entry of a generic into the US market. On September 1, 2010, Sun Pharmaceuticals announced it would begin manufacturing a generic in the United States. In a July 29, 2011 conference call, however, Sun Pharmaceutical's Chairman stated ""Lilly won that litigation on appeal so I think ’s deferred."""		Emotional symptoms
Fenofibrate	http://www.symcat.com/medications/fenofibrate	Fenofibrate (Tricor)	Also known as Tricor and Lofibra	"Fenofibrate (Abbott's Tricor) is a drug of the fibrate class. It is mainly used to reduce cholesterol levels in patients at risk of cardiovascular disease. Like other fibrates, it reduces both low-density lipoprotein (LDL) and very low density lipoprotein (VLDL) levels, as well as increasing high-density lipoprotein (HDL) levels and reducing triglycerides level. It is used alone or in conjunction with statins in the treatment of hypercholesterolemia and hypertriglyceridemia."		Flu
Alprazolam	http://www.symcat.com/medications/alprazolam	Alprazolam (Xanax)	Also known as Xanax	"Alprazolam pron.: /æl_præz_læm/ (trade name Xanax, available among other generic names) is a short-acting anxiolytic of the benzodiazepine class of psychoactive drugs. Alprazolam, like other benzodiazepines, binds to specific sites on the GABAA gamma-amino-butyric acid receptor. Alprazolam is commonly used and FDA approved for the medical treatment of panic disorder, and anxiety disorders, such as generalized anxiety disorder (GAD) or social anxiety disorder (SAD). Alprazolam is available for oral administration in compressed tablet (CT) and extended-release capsule (XR) formulations. Alprazolam possesses anxiolytic, sedative, hypnotic, skeletal muscle relaxant, anticonvulsant, and amnestic properties."		Insomnia
Albuterol	http://www.symcat.com/medications/albuterol	Albuterol	"Also known as Ventolin, Airomir, Combivent, Salamol, Salamol Easi-Breathe, Salbulin, Volmax, Ventodisks, Libetist, and Ventolin Easi-Breathe"	Salbutamol (INN) or albuterol (USAN) is a short-acting _2-adrenergic receptor agonist used for the relief of bronchospasm in conditions such as asthma and chronic obstructive pulmonary disease. It is marketed as Ventolin among other brand names.		Insomnia
Methotrexate	http://www.symcat.com/medications/methotrexate	Methotrexate	"Also known as Maxtrex, Folex Pfs, Emtexate, and Rheumatrex"	"Methotrexate (rINN) , abbreviated MTX and formerly known as amethopterin, is an antimetabolite and antifolate drug. It is used in treatment of cancer, autoimmune diseases, ectopic pregnancy, and for the induction of medical abortions. It acts by inhibiting the metabolism of folic acid. Methotrexate began to replace the more toxic antifolate aminopterin starting in the 1950s. The drug was developed by Yellapragada Subbarao."	Ectopic pregnancy	
Midazolam	http://www.symcat.com/medications/midazolam	Midazolam (Versed)	Also known as Versed	"Midazolam  is a short-acting drug in the benzodiazepine class developed by Hoffmann-La Roche in the 1970s. The drug is used for treatment of acute seizures, moderate to severe insomnia, and for inducing sedation and amnesia before medical procedures. It possesses profoundly potent anxiolytic, amnestic, hypnotic, anticonvulsant, skeletal muscle relaxant, and sedative properties. Midazolam has a fast recovery time and is the most commonly used benzodiazepine as a premedication for sedation; less commonly it is used for induction and maintenance of anesthesia. Flumazenil, a benzodiazepine antagonist drug, can be used to treat an overdose of midazolam, as well as to reverse sedation. However, flumazenil can trigger seizures in mixed overdoses and in benzodiazepine-dependent individuals, so is not used in most cases."		Vomiting
Ziprasidone	http://www.symcat.com/medications/ziprasidone	Ziprasidone (Geodon)	Also known as Geodon	"Ziprasidone (marketed as Geodon, Zeldox by Pfizer) was the fifth atypical antipsychotic to gain approval (February 2001) in the United States. It is approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia, and acute mania and mixed states associated with bipolar disorder. Its intramuscular injection form is approved for acute agitation in schizophrenic patients for whom treatment with just ziprasidone is appropriate."		Headache
"Influenza Virus Vaccine, H1N1, Inactivated"	http://www.symcat.com/medications/influenza-virus-vaccine-h1n1-inactivated	"Influenza Virus Vaccine, H1N1, Inactivated"	null	"Influenza Virus Vaccine, H1N1, Inactivated is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest."		
Pregabalin	http://www.symcat.com/medications/pregabalin	Pregabalin (Lyrica)	Also known as Lyrica	"Pregabalin (INN) (Lyrica) and (Serigaptin)  is an anticonvulsant drug used for neuropathic pain and as an adjunct therapy for partial seizures with or without secondary generalization in adults. It has also been found effective for generalized anxiety disorder and is (as of 2007) approved for this use in the European Union. It was designed as a more potent successor to gabapentin. Pregabalin is marketed by Pfizer under the trade name Lyrica. Pfizer described in an SEC filing that the drug could be used to treat epilepsy, post-herpetic neuralgia, diabetic peripheral neuropathy and fibromyalgia. Sales reached a record $3.063 billion in 2010."		Constipation
Memantine	http://www.symcat.com/medications/memantine	Memantine (Namenda)	Also known as Namenda	"Memantine is the first in a novel class of Alzheimer's disease medications acting on the glutamatergic system by blocking NMDA-type glutamate receptors. It was first synthesized by Eli Lilly and Company in 1968. Memantine is marketed under the brands Axura and Akatinol by Merz, Namenda by Forest, Ebixa and Abixa by Lundbeck and Memox by Unipharm. Memantine has been shown to have a modest effect in moderate-to-severe Alzheimer's disease  and in dementia with Lewy bodies. Despite years of research, there is little evidence of effect in mild Alzheimer's disease."		Back pain
Prednisone	http://www.symcat.com/medications/prednisone	Prednisone	"Also known as Decortisyl, Prednicen-M, Sterapred, Liquid Pred, Meticorten, Orasone, Deltasone, and Econosone"	"Prednisone is a synthetic corticosteroid drug that is particularly effective as an immunosuppressant drug. It is used to treat certain inflammatory diseases (such as moderate allergic reactions) and (at higher doses) some types of cancer, but has significant adverse effects. Because it suppresses the immune system, it leaves patients more susceptible to infections."		
Pantoprazole	http://www.symcat.com/medications/pantoprazole	Pantoprazole	"Also known as Protium Brand Of Pantoprazole Sodium, Protium I.V, and Protonix"	"Pantoprazole (sold under various brand names including Somac, Tecta, Pantoloc, Controloc, Protium, Protonix, Pantecta, Pantoheal, Pantpas, Ppi-40, and Neoppi) is a proton pump inhibitor drug that inhibits gastric acid secretion."	Hiatal hernia	
Fexofenadine	http://www.symcat.com/medications/fexofenadine	Fexofenadine (Allegra)	"Also known as Allegra-D 24 Hour, Allegra-D 12 Hour, Wal-Fex D, Allegra, and Wal-Fex"	"Fexofenadine (trade names Allegra, Fexidine, Telfast, Fastofen, Tilfur, Vifas, Telfexo, Allerfexo) is an antihistamine pharmaceutical drug used in the treatment of hay fever, allergy symptoms, and urticaria."		Diarrhea
Metformin	http://www.symcat.com/medications/metformin	Metformin	"Also known as Glucovance 1.25 Mg/250 Mg, Glucovance 2.5 Mg/500 Mg, Glucovance 5 Mg/500 Mg, Metaglip 2.5 Mg/250 Mg, Metaglip 5 Mg/500 Mg, Metaglip 2.5 Mg/500 Mg, Glucamet, Glucophage, Riomet, and Fortamet"	"Metformin (BP, pronounced /m_t_f_rm_n/, met-FAWR-min; originally sold as Glucophage) is an oral antidiabetic drug in the biguanide class. It is the first-line drug of choice for the treatment of type 2 diabetes, in particular, in overweight and obese people and those with normal kidney function. Its use in gestational diabetes has been limited by safety concerns. It is also used in the treatment of polycystic ovary syndrome, and has been investigated for other diseases where insulin resistance may be an important factor. Metformin works by suppressing glucose production by the liver."		Weakness
Quetiapine	http://www.symcat.com/medications/quetiapine	Quetiapine (Seroquel)	Also known as Seroquel	"Quetiapine  (branded as Seroquel, Xeroquel, Ketipinor), is an atypical antipsychotic approved for the treatment of schizophrenia, bipolar disorder, and along with an SSRI to treat major depressive disorder."		Allergy
